;fl_date;mkt_carrier_fl_num;origin_city_name;dest_city_name;distance;dep_delay;arr_delay;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay
231;2019-11-14;3335;Greensboro/High Point, NC;New York, NY;461.0;52.0;24.0;22.0;0.0;0.0;0.0;2.0
232;2019-11-14;3336;New York, NY;Indianapolis, IN;665.0;31.0;23.0;0.0;0.0;0.0;0.0;23.0
233;2019-11-14;3337;Chicago, IL;Omaha, NE;416.0;-2.0;-5.0;;;;;
234;2019-11-14;3338;Dallas/Fort Worth, TX;Boise, ID;1272.0;-2.0;-7.0;;;;;
235;2019-11-14;3339;Billings, MT;Dallas/Fort Worth, TX;1081.0;-6.0;-10.0;;;;;
236;2019-11-14;3339;Dallas/Fort Worth, TX;Billings, MT;1081.0;-5.0;-13.0;;;;;
237;2019-11-14;3340;Dallas/Fort Worth, TX;Little Rock, AR;304.0;0.0;-7.0;;;;;
238;2019-11-14;3341;Chicago, IL;Raleigh/Durham, NC;646.0;-3.0;8.0;;;;;
239;2019-11-14;3341;Raleigh/Durham, NC;Chicago, IL;646.0;;;;;;;
240;2019-11-14;3342;Scranton/Wilkes-Barre, PA;Chicago, IL;632.0;-7.0;-37.0;;;;;
241;2019-11-14;3343;Charlotte, NC;Charlottesville, VA;245.0;-6.0;-18.0;;;;;
242;2019-11-14;3344;Dallas/Fort Worth, TX;Fort Smith, AR;227.0;-12.0;-26.0;;;;;
243;2019-11-14;3345;Tulsa, OK;Dallas/Fort Worth, TX;237.0;-3.0;-2.0;;;;;
244;2019-11-14;3346;Abilene, TX;Dallas/Fort Worth, TX;158.0;-3.0;-14.0;;;;;
245;2019-11-14;3347;Chicago, IL;Moline, IL;139.0;-5.0;0.0;;;;;
246;2019-11-14;3348;Chicago, IL;Waterloo, IA;234.0;-1.0;19.0;0.0;0.0;19.0;0.0;0.0
247;2019-11-14;3349;Boise, ID;Dallas/Fort Worth, TX;1272.0;-3.0;6.0;;;;;
248;2019-11-14;3351;Chicago, IL;Sioux City, IA;436.0;-2.0;7.0;;;;;
249;2019-11-14;3352;Buffalo, NY;Chicago, IL;473.0;-4.0;4.0;;;;;
250;2019-11-14;3352;Chicago, IL;Buffalo, NY;473.0;-3.0;-14.0;;;;;
251;2019-11-14;3353;Abilene, TX;Dallas/Fort Worth, TX;158.0;12.0;-1.0;;;;;
252;2019-11-14;3354;Norfolk, VA;New York, NY;296.0;-7.0;-29.0;;;;;
253;2019-11-14;3355;Dallas/Fort Worth, TX;Del Rio, TX;335.0;-6.0;-24.0;;;;;
254;2019-11-14;3355;Del Rio, TX;Dallas/Fort Worth, TX;335.0;-7.0;-10.0;;;;;
255;2019-11-14;3356;Moline, IL;Chicago, IL;139.0;-10.0;-18.0;;;;;
256;2019-11-14;3357;Cincinnati, OH;Dallas/Fort Worth, TX;812.0;-6.0;-27.0;;;;;
257;2019-11-14;3358;Dallas/Fort Worth, TX;Grand Junction, CO;773.0;-5.0;2.0;;;;;
258;2019-11-14;3358;Grand Junction, CO;Dallas/Fort Worth, TX;773.0;-4.0;-15.0;;;;;
259;2019-11-14;3359;Savannah, GA;Miami, FL;440.0;-1.0;-8.0;;;;;
260;2019-11-14;3360;Chicago, IL;Springfield, MO;438.0;33.0;14.0;;;;;
261;2019-11-14;3361;Charlotte, NC;Greensboro/High Point, NC;83.0;10.0;6.0;;;;;
262;2019-11-14;3362;Cedar Rapids/Iowa City, IA;Chicago, IL;196.0;126.0;124.0;124.0;0.0;0.0;0.0;0.0
263;2019-11-14;3362;Chicago, IL;Cedar Rapids/Iowa City, IA;196.0;-8.0;-26.0;;;;;
264;2019-11-14;3363;Boise, ID;Dallas/Fort Worth, TX;1272.0;4.0;9.0;;;;;
265;2019-11-14;3363;Dallas/Fort Worth, TX;Boise, ID;1272.0;1.0;1.0;;;;;
266;2019-11-14;3365;Chicago, IL;Providence, RI;849.0;-3.0;-9.0;;;;;
267;2019-11-14;3366;Corpus Christi, TX;Dallas/Fort Worth, TX;354.0;-2.0;-7.0;;;;;
268;2019-11-14;3367;Miami, FL;Norfolk, VA;802.0;-10.0;-16.0;;;;;
269;2019-11-14;3367;Norfolk, VA;Miami, FL;802.0;-7.0;9.0;;;;;
270;2019-11-14;3369;Kalamazoo, MI;Chicago, IL;122.0;2.0;22.0;0.0;0.0;20.0;0.0;2.0
